question word,answer word,guess word,result
enormously,tremendously,N/A,Guess
provisions,stipulations,N/A,Guess
haphazardly,randomly,N/A,Guess
prominent,conspicuous,N/A,Guess
zenith,pinnacle,N/A,Guess
flawed,imperfect,N/A,Guess
urgently,desperately,N/A,Guess
consumed,eaten,N/A,Guess
advent,coming,N/A,Guess
concisely,succinctly,N/A,Guess
salutes,greetings,N/A,Guess
solitary,alone,N/A,Guess
hasten,accelerate,N/A,Guess
perseverance,endurance,N/A,Guess
fanciful,imaginative,N/A,Guess
showed,demonstrated,N/A,Guess
constantly,continually,N/A,Guess
issues,subjects,N/A,Guess
furnish,supply,N/A,Guess
costly,expensive,N/A,Guess
recognized,acknowledged,N/A,Guess
spot,location,N/A,Guess
make,earn,N/A,Guess
often,frequently,N/A,Guess
easygoing,relaxed,N/A,Guess
debate,argument,N/A,Guess
narrow,thin,N/A,Guess
arranged,planned,N/A,Guess
infinite,limitless,N/A,Guess
showy,striking,N/A,Guess
levied,imposed,N/A,Guess
deftly,skillfully,N/A,Guess
distribute,circulate,N/A,Guess
discrepancies,differences,N/A,Guess
prolific,productive,N/A,Guess
unmatched,unequaled,N/A,Guess
peculiarly,uniquely,N/A,Guess
hue,color,N/A,Guess
hind,rear,N/A,Guess
highlight,accentuate,N/A,Guess
hastily,hurriedly,N/A,Guess
temperate,mild,N/A,Guess
grin,smile,N/A,Guess
verbally,orally,N/A,Guess
physician,doctor,N/A,Guess
essentially,basically,N/A,Guess
keen,sharp,N/A,Guess
situated,positioned,N/A,Guess
principal,major,N/A,Guess
slowly,gradually,N/A,Guess
built,constructed,N/A,Guess
tasks,jobs,N/A,Guess
unlikely,improbable,N/A,Guess
halfheartedly,apathetically,N/A,Guess
annals,chronicles,N/A,Guess
wildly,furiously,N/A,Guess
hailed,acclaimed,N/A,Guess
command,mastery,N/A,Guess
concocted,devised,N/A,Guess
prospective,potential,N/A,Guess
generally,broadly,N/A,Guess
sustained,prolonged,N/A,Guess
perilous,dangerous,N/A,Guess
tranquillity,peacefulness,N/A,Guess
dissipate,disperse,N/A,Guess
primarily,chiefly,N/A,Guess
colloquial,conversational,N/A,Guess
resolved,settled,N/A,Guess
feasible,possible,N/A,Guess
expeditiously,rapidly,N/A,Guess
percentage,proportion,N/A,Guess
terminated,ended,N/A,Guess
uniform,alike,N/A,Guess
figure,solve,N/A,Guess
sufficient,enough,N/A,Guess
fashion,manner,N/A,Guess
marketed,sold,N/A,Guess
bigger,larger,N/A,Guess
roots,origins,N/A,Guess
normally,ordinarily,N/A,Guess
